"organizer","month","year","date","count"
"Art & Antiquities","Jun",2017,Jun 2017,38
"Art & Antiquities","Jun",2018,Jun 2018,28
"Art & Antiquities","Jul",2013,Jul 2013,23
"Art & Antiquities","Jul",2014,Jul 2014,24
"Art & Antiquities","Jul",2015,Jul 2015,30
"Art & Antiquities","Jul",2016,Jul 2016,21
"Art & Antiquities","Jul",2017,Jul 2017,32
"Art & Antiquities","Jul",2018,Jul 2018,28
"Art & Antiquities","Aug",2013,Aug 2013,24
"Art & Antiquities","Aug",2014,Aug 2014,19
"Art & Antiquities","Aug",2015,Aug 2015,23
"Art & Antiquities","Aug",2016,Aug 2016,21
"Art & Antiquities","Aug",2017,Aug 2017,38
"Art & Antiquities","Aug",2018,Aug 2018,29
"Art & Antiquities","Sep",2013,Sep 2013,15
"Art & Antiquities","Sep",2014,Sep 2014,16
"Art & Antiquities","Sep",2015,Sep 2015,19
"Art & Antiquities","Sep",2016,Sep 2016,2
"Art & Antiquities","Sep",2017,Sep 2017,30
"Art & Antiquities","Sep",2018,Sep 2018,19
"Art & Antiquities","Oct",2013,Oct 2013,26
"Art & Antiquities","Oct",2014,Oct 2014,25
"Art & Antiquities","Oct",2015,Oct 2015,21
"Art & Antiquities","Oct",2016,Oct 2016,18
"Art & Antiquities","Oct",2017,Oct 2017,34
"Art & Antiquities","Oct",2018,Oct 2018,27
"Art & Antiquities","Nov",2013,Nov 2013,10
"Art & Antiquities","Nov",2014,Nov 2014,9
"Art & Antiquities","Nov",2015,Nov 2015,11
"Art & Antiquities","Nov",2016,Nov 2016,21
"Art & Antiquities","Nov",2017,Nov 2017,23
"Art & Antiquities","Nov",2018,Nov 2018,19
"Art & Antiquities","Dec",2013,Dec 2013,19
"Art & Antiquities","Dec",2014,Dec 2014,21
"Art & Antiquities","Dec",2015,Dec 2015,23
"Art & Antiquities","Dec",2016,Dec 2016,20
"Art & Antiquities","Dec",2017,Dec 2017,18
"Art & Antiquities","Dec",2018,Dec 2018,1
"Arts, Culture & Fun","Jan",2013,Jan 2013,1
"Arts, Culture & Fun","Jan",2014,Jan 2014,3
"Arts, Culture & Fun","Jan",2015,Jan 2015,4
"Arts, Culture & Fun","Jan",2016,Jan 2016,7
"Arts, Culture & Fun","Jan",2017,Jan 2017,2
"Arts, Culture & Fun","Jan",2018,Jan 2018,4
"Arts, Culture & Fun","Feb",2013,Feb 2013,1
"Arts, Culture & Fun","Feb",2014,Feb 2014,9
"Arts, Culture & Fun","Feb",2015,Feb 2015,3
"Arts, Culture & Fun","Feb",2016,Feb 2016,3
"Arts, Culture & Fun","Feb",2017,Feb 2017,5
"Arts, Culture & Fun","Feb",2018,Feb 2018,8
"Arts, Culture & Fun","Mar",2014,Mar 2014,5
"Arts, Culture & Fun","Mar",2015,Mar 2015,1
"Arts, Culture & Fun","Mar",2016,Mar 2016,8
"Arts, Culture & Fun","Mar",2017,Mar 2017,29
"Arts, Culture & Fun","Mar",2018,Mar 2018,7
"Arts, Culture & Fun","Apr",2014,Apr 2014,2
"Arts, Culture & Fun","Apr",2015,Apr 2015,7
"Arts, Culture & Fun","Apr",2016,Apr 2016,4
"Arts, Culture & Fun","Apr",2017,Apr 2017,26
"Arts, Culture & Fun","Apr",2018,Apr 2018,13
"Arts, Culture & Fun","May",2014,May 2014,3
"Arts, Culture & Fun","May",2015,May 2015,4
"Arts, Culture & Fun","May",2016,May 2016,7
"Arts, Culture & Fun","May",2017,May 2017,9
"Arts, Culture & Fun","May",2018,May 2018,11
"Arts, Culture & Fun","Jun",2014,Jun 2014,4
"Arts, Culture & Fun","Jun",2015,Jun 2015,7
"Arts, Culture & Fun","Jun",2016,Jun 2016,20
"Arts, Culture & Fun","Jun",2017,Jun 2017,19
"Arts, Culture & Fun","Jun",2018,Jun 2018,16
"Arts, Culture & Fun","Jul",2014,Jul 2014,5
"Arts, Culture & Fun","Jul",2015,Jul 2015,11
"Arts, Culture & Fun","Jul",2016,Jul 2016,25
"Arts, Culture & Fun","Jul",2017,Jul 2017,14
"Arts, Culture & Fun","Jul",2018,Jul 2018,16
"Arts, Culture & Fun","Aug",2014,Aug 2014,6
"Arts, Culture & Fun","Aug",2015,Aug 2015,11
"Arts, Culture & Fun","Aug",2016,Aug 2016,22
"Arts, Culture & Fun","Aug",2017,Aug 2017,15
"Arts, Culture & Fun","Aug",2018,Aug 2018,13
"Arts, Culture & Fun","Sep",2014,Sep 2014,2
"Arts, Culture & Fun","Sep",2015,Sep 2015,2
"Arts, Culture & Fun","Sep",2016,Sep 2016,12
"Arts, Culture & Fun","Sep",2017,Sep 2017,10
"Arts, Culture & Fun","Sep",2018,Sep 2018,10
"Arts, Culture & Fun","Oct",2013,Oct 2013,3
"Arts, Culture & Fun","Oct",2014,Oct 2014,7
"Arts, Culture & Fun","Oct",2015,Oct 2015,9
"Arts, Culture & Fun","Oct",2016,Oct 2016,7
"Arts, Culture & Fun","Oct",2017,Oct 2017,12
"Arts, Culture & Fun","Oct",2018,Oct 2018,16
"Arts, Culture & Fun","Nov",2013,Nov 2013,6
"Arts, Culture & Fun","Nov",2014,Nov 2014,4
"Arts, Culture & Fun","Nov",2015,Nov 2015,6
"Arts, Culture & Fun","Nov",2016,Nov 2016,3
"Arts, Culture & Fun","Nov",2017,Nov 2017,7
"Arts, Culture & Fun","Nov",2018,Nov 2018,4
"Arts, Culture & Fun","Dec",2013,Dec 2013,1
"Arts, Culture & Fun","Dec",2014,Dec 2014,5
"Arts, Culture & Fun","Dec",2015,Dec 2015,8
"Arts, Culture & Fun","Dec",2016,Dec 2016,3
"Arts, Culture & Fun","Dec",2017,Dec 2017,3
"Arts, Culture & Fun","Dec",2018,Dec 2018,1
"Brooklyn Recreation","Jan",2014,Jan 2014,1
"Brooklyn Recreation","Jan",2015,Jan 2015,4
"Brooklyn Recreation","Jan",2016,Jan 2016,1
"Brooklyn Recreation","Feb",2014,Feb 2014,13
"Brooklyn Recreation","Feb",2015,Feb 2015,4
"Brooklyn Recreation","Feb",2016,Feb 2016,2
"Brooklyn Recreation","Feb",2018,Feb 2018,89
"Brooklyn Recreation","Mar",2013,Mar 2013,7
"Brooklyn Recreation","Mar",2014,Mar 2014,9
"Brooklyn Recreation","Mar",2016,Mar 2016,6
"Brooklyn Recreation","Mar",2017,Mar 2017,1
"Brooklyn Recreation","Mar",2018,Mar 2018,152
"Brooklyn Recreation","Apr",2013,Apr 2013,2
"Brooklyn Recreation","Apr",2014,Apr 2014,5
"Brooklyn Recreation","Apr",2016,Apr 2016,7
"Brooklyn Recreation","Apr",2017,Apr 2017,2
"Brooklyn Recreation","Apr",2018,Apr 2018,139
"Brooklyn Recreation","May",2013,May 2013,2
"Brooklyn Recreation","May",2014,May 2014,5
"Brooklyn Recreation","May",2016,May 2016,5
"Brooklyn Recreation","May",2017,May 2017,16
"Brooklyn Recreation","May",2018,May 2018,2
"Brooklyn Recreation","Jun",2013,Jun 2013,5
"Brooklyn Recreation","Jun",2014,Jun 2014,21
"Brooklyn Recreation","Jun",2015,Jun 2015,2
"Brooklyn Recreation","Jun",2016,Jun 2016,13
"Brooklyn Recreation","Jun",2017,Jun 2017,1
"Brooklyn Recreation","Jun",2018,Jun 2018,2
"Brooklyn Recreation","Jul",2013,Jul 2013,4
"Brooklyn Recreation","Jul",2014,Jul 2014,34
"Brooklyn Recreation","Jul",2015,Jul 2015,1
"Brooklyn Recreation","Jul",2018,Jul 2018,1
"Brooklyn Recreation","Aug",2013,Aug 2013,3
"Brooklyn Recreation","Aug",2014,Aug 2014,34
"Brooklyn Recreation","Aug",2017,Aug 2017,3
"Brooklyn Recreation","Aug",2018,Aug 2018,1
"Brooklyn Recreation","Sep",2013,Sep 2013,1
"Brooklyn Recreation","Sep",2014,Sep 2014,14
"Brooklyn Recreation","Sep",2016,Sep 2016,1
"Brooklyn Recreation","Sep",2017,Sep 2017,1
"Brooklyn Recreation","Sep",2018,Sep 2018,1
"Brooklyn Recreation","Oct",2013,Oct 2013,10
"Brooklyn Recreation","Oct",2014,Oct 2014,20
"Brooklyn Recreation","Oct",2015,Oct 2015,3
"Brooklyn Recreation","Nov",2013,Nov 2013,4
"Brooklyn Recreation","Nov",2014,Nov 2014,12
"Brooklyn Recreation","Nov",2015,Nov 2015,1
"Brooklyn Recreation","Dec",2013,Dec 2013,9
"Brooklyn Recreation","Dec",2014,Dec 2014,5
"Brooklyn Recreation","Dec",2015,Dec 2015,1
"Bryant Park Corp.","Jan",2013,Jan 2013,5
"Bryant Park Corp.","Jan",2015,Jan 2015,4
"Bryant Park Corp.","Jan",2016,Jan 2016,1
"Bryant Park Corp.","Jan",2017,Jan 2017,6
"Bryant Park Corp.","Jan",2018,Jan 2018,8
"Bryant Park Corp.","Feb",2013,Feb 2013,7
"Bryant Park Corp.","Feb",2016,Feb 2016,3
"Bryant Park Corp.","Feb",2017,Feb 2017,4
"Bryant Park Corp.","Feb",2018,Feb 2018,10
"Bryant Park Corp.","Mar",2013,Mar 2013,18
"Bryant Park Corp.","Mar",2014,Mar 2014,32
"Bryant Park Corp.","Mar",2018,Mar 2018,2
"Bryant Park Corp.","Apr",2013,Apr 2013,191
"Bryant Park Corp.","Apr",2014,Apr 2014,143
"Bryant Park Corp.","Apr",2015,Apr 2015,52
"Bryant Park Corp.","Apr",2016,Apr 2016,36
"Bryant Park Corp.","Apr",2017,Apr 2017,16
"Bryant Park Corp.","Apr",2018,Apr 2018,13
"Bryant Park Corp.","May",2013,May 2013,271
"Bryant Park Corp.","May",2014,May 2014,290
"Bryant Park Corp.","May",2015,May 2015,69
"Bryant Park Corp.","May",2016,May 2016,133
"Bryant Park Corp.","May",2017,May 2017,78
"Bryant Park Corp.","May",2018,May 2018,79
"Bryant Park Corp.","Jun",2013,Jun 2013,299
"Bryant Park Corp.","Jun",2014,Jun 2014,266
"Bryant Park Corp.","Jun",2015,Jun 2015,59
"Bryant Park Corp.","Jun",2016,Jun 2016,143
"Bryant Park Corp.","Jun",2017,Jun 2017,75
"Bryant Park Corp.","Jun",2018,Jun 2018,138
"Bryant Park Corp.","Jul",2013,Jul 2013,332
"Bryant Park Corp.","Jul",2014,Jul 2014,281
"Bryant Park Corp.","Jul",2015,Jul 2015,82
"Bryant Park Corp.","Jul",2016,Jul 2016,129
"Bryant Park Corp.","Jul",2017,Jul 2017,77
"Bryant Park Corp.","Jul",2018,Jul 2018,147
"Bryant Park Corp.","Aug",2013,Aug 2013,312
"Bryant Park Corp.","Aug",2014,Aug 2014,276
"Bryant Park Corp.","Aug",2015,Aug 2015,65
"Bryant Park Corp.","Aug",2016,Aug 2016,165
"Bryant Park Corp.","Aug",2017,Aug 2017,64
"Bryant Park Corp.","Aug",2018,Aug 2018,135
"Bryant Park Corp.","Sep",2013,Sep 2013,240
"Bryant Park Corp.","Sep",2014,Sep 2014,243
"Bryant Park Corp.","Sep",2015,Sep 2015,50
"Bryant Park Corp.","Sep",2016,Sep 2016,93
"Bryant Park Corp.","Sep",2017,Sep 2017,34
"Bryant Park Corp.","Sep",2018,Sep 2018,89
"Bryant Park Corp.","Oct",2013,Oct 2013,117
"Bryant Park Corp.","Oct",2014,Oct 2014,144
"Bryant Park Corp.","Oct",2015,Oct 2015,34
"Bryant Park Corp.","Oct",2016,Oct 2016,1
"Bryant Park Corp.","Oct",2017,Oct 2017,12
"Bryant Park Corp.","Oct",2018,Oct 2018,34
"Bryant Park Corp.","Nov",2014,Nov 2014,60
"Bryant Park Corp.","Nov",2017,Nov 2017,9
"Bryant Park Corp.","Nov",2018,Nov 2018,22
"Bryant Park Corp.","Dec",2014,Dec 2014,39
"Bryant Park Corp.","Dec",2015,Dec 2015,9
"Bryant Park Corp.","Dec",2016,Dec 2016,1
"Bryant Park Corp.","Dec",2017,Dec 2017,6
"Central Park Conservancy","Jan",2013,Jan 2013,93
"Central Park Conservancy","Jan",2014,Jan 2014,73
"Central Park Conservancy","Jan",2015,Jan 2015,32
"Central Park Conservancy","Jan",2016,Jan 2016,21
"Central Park Conservancy","Jan",2017,Jan 2017,21
"Central Park Conservancy","Jan",2018,Jan 2018,30
"Central Park Conservancy","Feb",2013,Feb 2013,86
"Central Park Conservancy","Feb",2014,Feb 2014,41
"Central Park Conservancy","Feb",2015,Feb 2015,32
"Central Park Conservancy","Feb",2016,Feb 2016,22
"Central Park Conservancy","Feb",2017,Feb 2017,20
"Central Park Conservancy","Feb",2018,Feb 2018,26
"Central Park Conservancy","Mar",2013,Mar 2013,102
"Central Park Conservancy","Mar",2014,Mar 2014,36
"Central Park Conservancy","Mar",2015,Mar 2015,37
"Central Park Conservancy","Mar",2016,Mar 2016,39
"Central Park Conservancy","Mar",2017,Mar 2017,43
"Central Park Conservancy","Mar",2018,Mar 2018,59
"Central Park Conservancy","Apr",2013,Apr 2013,73
"Central Park Conservancy","Apr",2014,Apr 2014,42
"Central Park Conservancy","Apr",2015,Apr 2015,47
"Central Park Conservancy","Apr",2016,Apr 2016,55
"Central Park Conservancy","Apr",2017,Apr 2017,71
"Central Park Conservancy","Apr",2018,Apr 2018,83
"Central Park Conservancy","May",2013,May 2013,95
"Central Park Conservancy","May",2014,May 2014,41
"Central Park Conservancy","May",2015,May 2015,60
"Central Park Conservancy","May",2016,May 2016,67
"Central Park Conservancy","May",2017,May 2017,50
"Central Park Conservancy","May",2018,May 2018,87
"Central Park Conservancy","Jun",2013,Jun 2013,35
"Central Park Conservancy","Jun",2014,Jun 2014,47
"Central Park Conservancy","Jun",2015,Jun 2015,55
"Central Park Conservancy","Jun",2016,Jun 2016,65
"Central Park Conservancy","Jun",2017,Jun 2017,58
"Central Park Conservancy","Jun",2018,Jun 2018,91
"Central Park Conservancy","Jul",2013,Jul 2013,69
"Central Park Conservancy","Jul",2014,Jul 2014,52
"Central Park Conservancy","Jul",2015,Jul 2015,57
"Central Park Conservancy","Jul",2016,Jul 2016,56
"Central Park Conservancy","Jul",2017,Jul 2017,57
"Central Park Conservancy","Jul",2018,Jul 2018,88
"Central Park Conservancy","Aug",2013,Aug 2013,79
"Central Park Conservancy","Aug",2014,Aug 2014,54
"Central Park Conservancy","Aug",2015,Aug 2015,60
"Central Park Conservancy","Aug",2016,Aug 2016,85
"Central Park Conservancy","Aug",2017,Aug 2017,53
"Central Park Conservancy","Aug",2018,Aug 2018,102
"Central Park Conservancy","Sep",2013,Sep 2013,82
"Central Park Conservancy","Sep",2014,Sep 2014,62
"Central Park Conservancy","Sep",2015,Sep 2015,50
"Central Park Conservancy","Sep",2016,Sep 2016,61
"Central Park Conservancy","Sep",2017,Sep 2017,48
"Central Park Conservancy","Sep",2018,Sep 2018,104
"Central Park Conservancy","Oct",2013,Oct 2013,71
"Central Park Conservancy","Oct",2014,Oct 2014,62
"Central Park Conservancy","Oct",2015,Oct 2015,53
"Central Park Conservancy","Oct",2016,Oct 2016,64
"Central Park Conservancy","Oct",2017,Oct 2017,53
"Central Park Conservancy","Oct",2018,Oct 2018,99
"Central Park Conservancy","Nov",2013,Nov 2013,68
"Central Park Conservancy","Nov",2014,Nov 2014,43
"Central Park Conservancy","Nov",2015,Nov 2015,36
"Central Park Conservancy","Nov",2016,Nov 2016,44
"Central Park Conservancy","Nov",2017,Nov 2017,45
"Central Park Conservancy","Nov",2018,Nov 2018,83
"Central Park Conservancy","Dec",2013,Dec 2013,51
"Central Park Conservancy","Dec",2014,Dec 2014,40
"Central Park Conservancy","Dec",2015,Dec 2015,28
"Central Park Conservancy","Dec",2016,Dec 2016,39
"Central Park Conservancy","Dec",2017,Dec 2017,46
"Central Park Conservancy","Dec",2018,Dec 2018,76
"City Parks Foundation","Jan",2016,Jan 2016,23
"City Parks Foundation","Feb",2016,Feb 2016,21
"City Parks Foundation","Mar",2016,Mar 2016,23
"City Parks Foundation","Apr",2013,Apr 2013,9
"City Parks Foundation","Apr",2014,Apr 2014,52
"City Parks Foundation","Apr",2016,Apr 2016,21
"City Parks Foundation","May",2013,May 2013,12
"City Parks Foundation","May",2014,May 2014,199
"City Parks Foundation","May",2016,May 2016,30
"City Parks Foundation","Jun",2013,Jun 2013,41
"City Parks Foundation","Jun",2014,Jun 2014,176
"City Parks Foundation","Jun",2016,Jun 2016,32
"City Parks Foundation","Jun",2017,Jun 2017,17
"City Parks Foundation","Jun",2018,Jun 2018,2
"City Parks Foundation","Jul",2013,Jul 2013,97
"City Parks Foundation","Jul",2014,Jul 2014,90
"City Parks Foundation","Jul",2015,Jul 2015,23
"City Parks Foundation","Jul",2016,Jul 2016,3
"City Parks Foundation","Jul",2017,Jul 2017,18
"City Parks Foundation","Jul",2018,Jul 2018,3
"City Parks Foundation","Aug",2013,Aug 2013,111
"City Parks Foundation","Aug",2014,Aug 2014,76
"City Parks Foundation","Aug",2015,Aug 2015,11
"City Parks Foundation","Aug",2016,Aug 2016,8
"City Parks Foundation","Aug",2017,Aug 2017,45
"City Parks Foundation","Aug",2018,Aug 2018,18
"City Parks Foundation","Sep",2013,Sep 2013,78
"City Parks Foundation","Sep",2014,Sep 2014,13
"City Parks Foundation","Sep",2015,Sep 2015,58
"City Parks Foundation","Sep",2016,Sep 2016,53
"City Parks Foundation","Sep",2017,Sep 2017,15
"City Parks Foundation","Sep",2018,Sep 2018,133
"City Parks Foundation","Oct",2013,Oct 2013,197
"City Parks Foundation","Oct",2014,Oct 2014,25
"City Parks Foundation","Oct",2015,Oct 2015,204
"City Parks Foundation","Oct",2016,Oct 2016,147
"City Parks Foundation","Oct",2017,Oct 2017,32
"City Parks Foundation","Oct",2018,Oct 2018,228
"City Parks Foundation","Nov",2013,Nov 2013,4
"City Parks Foundation","Nov",2015,Nov 2015,25
"City Parks Foundation","Nov",2016,Nov 2016,28
"City Parks Foundation","Nov",2017,Nov 2017,33
"City Parks Foundation","Nov",2018,Nov 2018,38
"City Parks Foundation","Dec",2015,Dec 2015,27
"City Parks Foundation","Dec",2017,Dec 2017,48
"City Parks Foundation","Dec",2018,Dec 2018,46
"Conference House Park","Jan",2015,Jan 2015,32
"Conference House Park","Jan",2016,Jan 2016,1
"Conference House Park","Jan",2017,Jan 2017,54
"Conference House Park","Jan",2018,Jan 2018,4
"Conference House Park","Feb",2015,Feb 2015,14
"Conference House Park","Feb",2016,Feb 2016,2
"Conference House Park","Feb",2017,Feb 2017,30
"Conference House Park","Feb",2018,Feb 2018,5
"Conference House Park","Mar",2014,Mar 2014,1
"Conference House Park","Mar",2015,Mar 2015,24
"Conference House Park","Mar",2017,Mar 2017,31
"Conference House Park","Mar",2018,Mar 2018,11
"Conference House Park","Apr",2014,Apr 2014,1
"Conference House Park","Apr",2015,Apr 2015,20
"Conference House Park","Apr",2016,Apr 2016,27
"Conference House Park","Apr",2017,Apr 2017,35
"Conference House Park","Apr",2018,Apr 2018,5
"Conference House Park","May",2015,May 2015,32
"Conference House Park","May",2016,May 2016,36
"Conference House Park","May",2017,May 2017,20
"Conference House Park","May",2018,May 2018,6
"Conference House Park","Jun",2014,Jun 2014,1
"Conference House Park","Jun",2015,Jun 2015,21
"Conference House Park","Jun",2016,Jun 2016,40
"Conference House Park","Jun",2017,Jun 2017,17
"Conference House Park","Jun",2018,Jun 2018,13
"Conference House Park","Jul",2014,Jul 2014,1
"Conference House Park","Jul",2015,Jul 2015,12
"Conference House Park","Jul",2016,Jul 2016,30
"Conference House Park","Jul",2017,Jul 2017,16
"Conference House Park","Jul",2018,Jul 2018,44
"Conference House Park","Aug",2014,Aug 2014,6
"Conference House Park","Aug",2015,Aug 2015,15
"Conference House Park","Aug",2016,Aug 2016,22
"Conference House Park","Aug",2017,Aug 2017,7
"Conference House Park","Aug",2018,Aug 2018,132
"Conference House Park","Sep",2015,Sep 2015,26
"Conference House Park","Sep",2016,Sep 2016,15
"Conference House Park","Sep",2017,Sep 2017,20
"Conference House Park","Sep",2018,Sep 2018,136
"Conference House Park","Oct",2014,Oct 2014,22
"Conference House Park","Oct",2015,Oct 2015,34
"Conference House Park","Oct",2016,Oct 2016,24
"Conference House Park","Oct",2017,Oct 2017,16
"Conference House Park","Oct",2018,Oct 2018,142
"Conference House Park","Nov",2014,Nov 2014,33
"Conference House Park","Nov",2015,Nov 2015,30
"Conference House Park","Nov",2016,Nov 2016,29
"Conference House Park","Nov",2018,Nov 2018,121
"Conference House Park","Dec",2014,Dec 2014,33
"Conference House Park","Dec",2015,Dec 2015,23
"Conference House Park","Dec",2016,Dec 2016,60
"Conference House Park","Dec",2017,Dec 2017,3
"Conference House Park","Dec",2018,Dec 2018,21
"Fort Tryon Park Trust","Jan",2013,Jan 2013,3
"Fort Tryon Park Trust","Jan",2014,Jan 2014,5
"Fort Tryon Park Trust","Jan",2015,Jan 2015,15
"Fort Tryon Park Trust","Jan",2016,Jan 2016,15
"Fort Tryon Park Trust","Jan",2017,Jan 2017,6
"Fort Tryon Park Trust","Jan",2018,Jan 2018,8
"Fort Tryon Park Trust","Feb",2013,Feb 2013,2
"Fort Tryon Park Trust","Feb",2014,Feb 2014,5
"Fort Tryon Park Trust","Feb",2015,Feb 2015,13
"Fort Tryon Park Trust","Feb",2016,Feb 2016,14
"Fort Tryon Park Trust","Feb",2017,Feb 2017,8
"Fort Tryon Park Trust","Feb",2018,Feb 2018,8
"Fort Tryon Park Trust","Mar",2013,Mar 2013,5
"Fort Tryon Park Trust","Mar",2014,Mar 2014,7
"Fort Tryon Park Trust","Mar",2015,Mar 2015,13
"Fort Tryon Park Trust","Mar",2016,Mar 2016,17
"Fort Tryon Park Trust","Mar",2017,Mar 2017,8
"Fort Tryon Park Trust","Mar",2018,Mar 2018,8
"Fort Tryon Park Trust","Apr",2013,Apr 2013,2
"Fort Tryon Park Trust","Apr",2014,Apr 2014,7
"Fort Tryon Park Trust","Apr",2015,Apr 2015,17
"Fort Tryon Park Trust","Apr",2016,Apr 2016,20
"Fort Tryon Park Trust","Apr",2017,Apr 2017,13
"Fort Tryon Park Trust","Apr",2018,Apr 2018,9
"Fort Tryon Park Trust","May",2013,May 2013,1
"Fort Tryon Park Trust","May",2014,May 2014,22
"Fort Tryon Park Trust","May",2015,May 2015,20
"Fort Tryon Park Trust","May",2016,May 2016,22
"Fort Tryon Park Trust","May",2017,May 2017,19
"Fort Tryon Park Trust","May",2018,May 2018,14
"Fort Tryon Park Trust","Jun",2013,Jun 2013,4
"Fort Tryon Park Trust","Jun",2014,Jun 2014,25
"Fort Tryon Park Trust","Jun",2015,Jun 2015,27
"Fort Tryon Park Trust","Jun",2016,Jun 2016,42
"Fort Tryon Park Trust","Jun",2017,Jun 2017,22
"Fort Tryon Park Trust","Jun",2018,Jun 2018,30
"Fort Tryon Park Trust","Jul",2013,Jul 2013,5
"Fort Tryon Park Trust","Jul",2014,Jul 2014,25
"Fort Tryon Park Trust","Jul",2015,Jul 2015,34
"Fort Tryon Park Trust","Jul",2016,Jul 2016,41
"Fort Tryon Park Trust","Jul",2017,Jul 2017,27
"Fort Tryon Park Trust","Jul",2018,Jul 2018,21
"Fort Tryon Park Trust","Aug",2013,Aug 2013,6
"Fort Tryon Park Trust","Aug",2014,Aug 2014,23
"Fort Tryon Park Trust","Aug",2015,Aug 2015,33
"Fort Tryon Park Trust","Aug",2016,Aug 2016,36
"Fort Tryon Park Trust","Aug",2017,Aug 2017,29
"Fort Tryon Park Trust","Aug",2018,Aug 2018,25
"Fort Tryon Park Trust","Sep",2013,Sep 2013,8
"Fort Tryon Park Trust","Sep",2014,Sep 2014,15
"Fort Tryon Park Trust","Sep",2015,Sep 2015,20
"Fort Tryon Park Trust","Sep",2016,Sep 2016,19
